,result,A,2,3,4,5,6,7,8,9,10,J,Q,K
112,1,0,0,0,0,0,0,0,0,0,0,0,0,0
113,1,0,0,1,0,1,3,0,0,0,0,0,1,1
114,1,1,0,1,0,2,3,0,1,1,0,1,1,2
115,0,1,1,2,0,2,3,0,2,2,1,2,1,2
116,1,1,2,2,1,2,3,1,2,2,1,2,3,2
117,0,2,2,2,2,2,3,1,2,2,1,2,4,3
118,0,2,2,2,2,2,3,1,2,3,3,3,4,3
119,0,3,3,3,2,2,3,2,2,4,4,3,4,3
120,0,3,3,4,3,3,3,4,3,4,4,3,4,3
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,0,1,0,0,0,2,1,0,1,1,0,0,0,0
123,0,1,2,0,0,2,2,3,2,1,0,0,1,1
124,1,1,2,1,0,2,2,4,2,1,0,2,1,2
125,1,1,2,2,2,2,2,4,2,2,0,2,1,4
126,1,1,3,2,4,2,2,4,3,2,2,2,1,4
128,1,2,4,4,4,3,3,4,4,3,2,4,2,4
129,1,3,4,4,4,4,3,4,4,3,3,4,3,4
130,1,0,0,0,0,0,0,0,0,0,0,0,0,0
131,1,0,1,0,0,2,1,0,3,0,0,0,0,0
132,1,1,1,0,1,3,1,0,4,0,1,0,1,0
133,1,3,1,0,1,3,2,1,4,0,1,0,1,1
134,0,3,3,1,2,3,2,1,4,1,3,0,1,1
135,0,3,3,1,4,4,3,1,4,2,3,0,2,1
136,1,3,3,2,4,4,3,2,4,2,3,2,2,2
138,0,3,4,3,4,4,4,4,4,3,4,3,3,4
139,1,2,0,1,0,0,0,0,0,1,0,1,1,0
140,1,2,1,1,1,0,1,0,0,1,1,2,1,1
141,1,2,1,1,1,1,2,1,1,2,2,2,1,1
142,0,3,3,1,2,2,3,2,2,2,2,2,1,1
143,0,3,3,1,2,2,3,3,2,2,2,3,3,1
144,1,4,3,2,3,3,3,3,3,3,3,3,3,1
145,0,4,3,2,4,3,3,3,4,3,3,3,3,4
146,0,4,4,2,4,4,3,3,4,4,4,4,3,4
147,0,0,1,2,0,0,2,1,0,0,0,0,1,0
148,1,0,1,2,1,0,2,1,0,0,2,1,1,1
150,1,2,1,2,1,0,2,2,2,1,3,1,1,2
151,0,2,2,2,1,1,2,2,3,3,4,1,1,2
152,1,3,3,2,2,2,2,2,3,4,4,1,1,2
153,1,3,4,2,2,2,4,2,3,4,4,1,2,3
154,1,3,4,3,3,3,4,2,3,4,4,3,3,3
155,1,4,4,4,4,3,4,2,3,4,4,4,3,4
156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,0,0,0,0,2,1,0,0,0,0,0,1,0,1
158,1,0,0,1,2,2,0,0,1,0,0,2,1,1
159,0,0,1,2,2,2,2,0,1,0,1,3,1,1
160,0,0,1,2,2,2,2,1,1,0,3,3,2,1
161,1,1,2,3,3,3,4,1,1,0,3,3,2,1
162,1,1,2,3,4,3,4,2,3,2,3,3,2,2
163,1,1,3,4,4,3,4,3,3,2,4,3,3,3
165,1,0,0,0,0,0,0,0,0,0,0,0,0,0
166,1,1,1,0,2,0,1,0,0,1,0,1,0,0
167,1,1,1,0,2,0,1,1,1,1,0,1,2,0
168,1,1,1,3,3,1,1,1,1,1,0,3,3,1
169,1,2,2,3,3,2,1,1,1,1,1,3,4,2
170,1,2,2,4,3,3,2,1,2,1,1,3,4,4
171,0,2,3,4,3,3,3,1,2,3,2,3,4,4
173,1,3,4,4,3,4,4,2,4,3,4,4,4,4
175,0,1,1,1,1,0,0,2,0,2,1,1,2,0
176,0,2,2,1,2,0,1,2,2,3,1,1,2,0
177,1,2,2,1,3,0,1,2,2,3,3,2,2,1
178,0,2,3,3,3,1,2,3,2,3,3,2,3,1
179,0,3,3,4,3,2,3,3,2,3,3,3,3,1
180,1,4,4,4,4,2,4,3,3,3,4,3,3,1
181,1,4,4,4,4,2,4,3,4,4,4,3,4,2
182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,1,0,0,0,0,0,0,0,1,1,1,0,0,1
184,1,0,3,2,0,0,1,2,1,2,1,0,0,1
185,0,1,3,2,1,2,3,2,1,2,2,0,0,1
186,1,1,3,3,2,2,3,2,2,2,2,1,1,1
187,0,2,4,3,2,2,3,3,3,2,2,1,2,1
188,1,2,4,3,2,2,3,3,3,3,3,1,3,2
189,0,2,4,3,3,3,3,3,3,3,3,3,3,3
190,1,3,4,3,3,4,4,4,3,3,3,3,4,3
191,1,0,0,0,0,0,0,0,0,0,0,0,0,0
192,1,0,0,1,0,0,1,0,0,2,1,0,0,0
193,0,0,0,1,1,0,1,0,2,2,1,1,0,1
194,0,0,0,3,2,0,1,0,2,3,1,1,0,2
195,1,1,1,3,2,0,1,0,2,3,3,1,0,2
196,1,2,1,3,2,0,1,1,2,3,4,1,0,3
197,0,2,1,3,2,2,1,1,3,4,4,1,0,4
198,1,3,1,3,3,2,2,2,3,4,4,2,1,4
199,0,3,3,4,3,3,2,3,3,4,4,2,3,4
200,0,4,3,4,3,4,2,3,3,4,4,4,4,4
202,1,1,0,0,0,1,1,1,0,1,0,0,1,0
203,1,2,0,0,0,1,2,1,0,1,0,1,1,1
204,1,2,0,0,1,1,3,1,2,2,0,2,1,1
205,0,2,0,0,2,1,3,1,2,3,0,3,3,1
206,1,3,0,1,3,3,3,1,3,3,0,4,3,1
207,1,3,0,2,3,4,4,1,3,4,2,4,3,1
208,1,3,2,2,3,4,4,1,4,4,4,4,3,2
209,1,3,2,4,4,4,4,3,4,4,4,4,4,3
210,1,2,2,0,0,0,0,1,1,1,0,0,0,1
211,0,2,2,0,0,0,1,1,3,1,0,1,1,1
212,1,2,2,1,1,1,1,1,4,1,0,2,1,1
213,0,2,2,2,1,1,1,1,4,1,1,3,2,2
214,0,2,3,2,1,2,1,4,4,2,1,3,3,3
215,1,2,3,2,2,2,3,4,4,3,1,4,3,3
216,0,3,3,2,3,3,3,4,4,4,2,4,3,3
217,0,3,4,3,3,3,4,4,4,4,3,4,4,4
218,0,1,1,1,1,2,0,0,0,0,1,0,0,0
219,0,2,1,1,2,2,0,0,0,0,1,0,1,1
220,1,2,2,1,3,2,0,0,0,1,2,0,1,2
221,1,3,2,1,3,3,0,0,0,2,2,0,1,3
222,1,4,2,1,3,3,1,0,0,3,3,0,1,3
223,0,4,3,2,3,3,2,0,1,3,3,0,2,4
225,1,4,4,4,4,3,3,3,1,4,3,3,2,4
226,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,0,0,0,1,0,0,0,1,1,0,0,2,0,0
228,0,1,0,2,0,1,1,1,1,1,1,2,0,0
229,1,2,1,2,0,2,2,1,1,1,1,2,1,0
