,result,A,2,3,4,5,6,7,8,9,10,J,Q,K
2818,1,1,0,0,1,3,2,0,1,0,0,1,2,0
2819,1,2,0,4,3,3,2,0,2,1,0,1,2,0
2820,0,2,0,4,3,3,2,1,3,1,0,2,3,0
2821,1,2,1,4,3,3,2,1,4,2,1,3,3,0
2822,0,3,1,4,3,3,2,2,4,3,1,3,4,0
2823,1,3,1,4,4,3,4,2,4,3,2,3,4,1
2824,1,3,1,4,4,4,4,2,4,4,2,4,4,3
2825,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2826,1,1,1,0,0,0,0,1,0,0,0,2,0,0
2827,1,1,1,1,0,0,0,1,0,1,0,2,2,1
2828,0,1,1,2,0,1,1,2,0,1,1,2,2,2
2829,0,4,1,2,0,2,1,2,0,1,1,3,2,2
2830,0,4,2,3,0,2,2,2,1,2,1,3,2,3
2831,0,4,2,3,1,3,2,2,1,2,1,4,2,4
2833,1,4,3,4,1,4,4,2,1,4,3,4,3,4
2834,0,4,3,4,2,4,4,3,2,4,4,4,4,4
2835,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2838,0,1,2,0,2,1,1,2,2,1,0,1,2,1
2839,1,2,2,0,2,1,1,3,2,1,0,2,3,1
2840,1,2,2,0,2,1,3,3,2,2,1,2,4,1
2841,0,2,2,1,3,1,3,3,2,3,1,3,4,2
2843,0,4,3,2,3,2,4,3,2,3,3,4,4,3
2844,0,4,3,3,3,3,4,3,3,4,3,4,4,4
2845,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2846,0,1,3,1,0,0,0,1,1,0,0,0,0,0
2847,1,2,3,1,2,1,0,1,1,0,0,0,1,0
2848,1,2,3,1,2,1,1,2,1,0,1,0,2,1
2849,1,2,3,1,2,1,2,2,2,1,1,2,2,1
2850,0,3,3,2,2,2,3,2,2,1,2,2,3,2
2852,1,3,3,2,3,3,4,4,2,2,3,3,4,3
2853,0,3,3,3,4,4,4,4,4,4,4,3,4,3
2854,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2855,0,0,2,1,2,0,0,1,0,1,0,0,0,0
2856,1,1,2,1,2,2,0,2,0,1,0,0,0,1
2857,1,1,2,1,2,2,0,2,1,2,0,1,1,1
2858,0,2,2,1,2,3,1,2,1,2,1,1,1,1
2859,1,2,3,1,3,3,1,2,1,3,2,1,2,1
2860,0,3,3,1,4,4,1,3,3,3,2,1,2,1
2861,1,3,4,1,4,4,1,4,3,3,2,1,3,3
2862,0,3,4,2,4,4,2,4,4,3,2,2,4,3
2863,1,4,4,3,4,4,2,4,4,4,2,2,4,4
2864,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2865,1,0,1,1,0,0,1,0,1,0,1,1,0,0
2866,1,0,1,1,0,0,1,1,1,1,1,1,1,1
2867,1,0,1,1,0,2,1,1,1,2,2,2,1,1
2868,1,0,1,1,1,2,2,1,2,2,2,3,2,1
2870,0,0,2,3,3,3,3,2,3,3,4,3,2,2
2871,1,0,2,3,4,4,3,3,3,3,4,3,4,2
2872,0,3,4,4,4,4,3,3,3,4,4,4,4,2
2873,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2874,0,1,1,0,0,0,1,0,1,0,0,0,1,0
2875,0,2,1,1,0,1,1,0,1,0,0,0,2,0
2876,1,2,1,1,1,1,1,1,1,0,1,1,3,0
2878,0,2,1,2,2,2,3,1,2,2,1,2,3,2
2879,1,2,3,3,2,2,4,1,2,2,1,3,4,2
2880,1,2,3,3,2,3,4,4,2,2,2,3,4,2
2881,1,4,3,3,2,3,4,4,3,2,2,4,4,2
2882,0,4,4,3,3,3,4,4,3,4,2,4,4,4
2883,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2884,0,1,0,2,0,1,0,0,1,1,0,0,0,0
2885,1,1,2,2,0,1,0,0,2,2,0,1,0,0
2886,1,1,2,3,0,2,1,0,3,2,1,2,0,0
2887,1,1,2,4,0,2,1,0,3,2,1,3,1,2
2889,0,2,3,4,0,2,2,1,4,2,2,4,2,3
2890,0,3,4,4,1,2,3,2,4,2,2,4,2,3
2891,0,4,4,4,3,3,3,3,4,3,2,4,2,3
2892,0,4,4,4,4,4,4,3,4,3,2,4,3,4
2893,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2894,1,0,1,0,0,2,0,1,0,1,0,0,0,1
2895,1,0,1,0,0,2,0,1,1,1,1,1,0,2
2896,0,0,1,1,2,2,1,2,2,2,1,1,0,2
2897,0,1,1,2,2,2,2,2,3,2,2,1,1,2
2898,0,1,1,2,2,3,3,2,4,2,2,2,2,2
2899,1,1,1,3,3,3,3,3,4,3,3,2,2,2
2900,0,1,2,3,3,3,3,3,4,3,3,3,3,4
2902,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2903,0,1,1,0,0,1,1,0,2,0,0,0,1,0
2904,1,2,1,0,0,2,1,0,2,0,1,1,1,0
2905,0,2,1,0,0,2,1,1,2,0,1,2,2,1
2906,1,3,1,1,2,2,1,1,3,1,1,2,2,2
2908,0,4,1,4,3,2,2,2,4,1,3,4,2,2
2909,0,4,2,4,3,2,3,2,4,1,3,4,3,3
2910,0,4,2,4,3,2,3,4,4,2,3,4,3,4
2911,0,4,2,4,4,3,4,4,4,3,4,4,3,4
2912,0,0,2,1,0,2,0,0,0,1,0,0,1,0
2913,0,0,2,1,0,2,2,1,0,1,0,2,1,0
2914,1,0,2,1,0,2,2,2,0,3,0,2,2,0
2916,0,1,3,2,0,2,2,2,2,3,0,3,2,2
2917,1,1,3,2,1,3,2,2,3,3,0,3,2,4
2918,0,2,3,3,2,3,3,2,3,3,1,3,3,4
2919,1,4,3,3,2,3,4,2,3,3,1,4,3,4
2920,0,4,4,4,3,4,4,3,4,4,1,4,3,4
2921,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2922,0,1,0,0,1,0,0,0,1,0,1,0,0,1
2923,0,1,1,0,1,1,0,0,1,0,2,1,0,2
2924,0,2,1,1,1,1,0,0,2,1,3,1,1,2
2925,1,2,1,1,1,2,0,0,2,2,3,3,1,2
2926,1,2,2,2,1,2,2,0,3,2,3,3,1,3
2927,0,2,2,2,1,3,2,2,3,2,3,3,3,3
2928,1,2,2,2,2,4,3,2,3,2,4,3,4,3
2929,1,3,3,3,2,4,3,2,3,2,4,3,4,4
2930,1,3,3,4,2,4,3,3,4,4,4,3,4,4
2931,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2932,0,1,0,0,0,0,2,0,2,0,0,0,0,1
2933,0,1,0,1,1,0,2,0,3,0,0,1,0,2
2934,0,1,0,2,2,0,2,0,3,1,0,1,2,2
2935,1,2,0,2,2,1,2,2,3,1,1,1,2,2
2936,1,3,0,2,2,4,2,3,3,1,1,3,2,2
2937,1,3,1,3,3,4,2,3,3,1,2,3,2,4
2938,0,3,1,3,4,4,3,3,3,2,3,4,2,4
2939,1,4,3,3,4,4,4,3,4,3,3,4,2,4
2940,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2941,0,0,0,0,1,0,1,1,1,0,0,1,0,0
2942,1,1,1,1,2,1,1,2,1,0,0,1,0,0
2943,1,2,2,1,2,1,1,2,1,1,0,2,0,0
2944,1,2,2,2,3,1,2,3,2,1,0,2,1,0
2945,1,2,2,2,3,2,2,3,3,2,1,2,2,0
2946,0,2,2,2,3,2,2,4,3,3,2,3,2,0
2947,0,2,2,3,3,2,2,4,4,3,2,4,3,1
2948,0,2,4,4,3,3,3,4,4,3,3,4,3,1
2949,1,3,4,4,4,3,3,4,4,3,4,4,3,3
2950,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2951,0,0,1,1,0,1,0,0,1,1,0,0,0,1
2952,0,0,1,1,0,1,1,1,1,1,0,0,2,1
2953,1,0,1,2,2,1,1,1,1,2,0,1,2,1
2956,0,1,2,3,3,1,1,3,2,4,4,1,3,2
2957,0,1,3,4,3,2,2,4,2,4,4,2,3,2
2958,0,2,4,4,3,2,2,4,3,4,4,2,4,2
2959,1,3,4,4,3,3,2,4,4,4,4,2,4,3
2960,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2961,0,1,1,0,0,1,1,1,0,1,0,1,0,0
2962,0,2,1,0,0,1,1,1,0,1,0,2,2,0
2963,0,2,2,1,2,1,1,1,1,1,1,2,2,0
2964,0,2,2,1,2,1,1,1,1,2,2,2,2,2
2965,0,2,3,1,2,3,1,1,1,3,3,2,3,2
2966,1,2,3,2,3,3,2,1,2,3,3,3,3,2
2967,1,3,4,2,3,3,2,1,2,4,3,4,3,2
2968,1,3,4,3,3,4,3,1,3,4,4,4,4,2
2969,0,4,4,3,3,4,3,2,4,4,4,4,4,3
2970,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2971,0,0,1,0,0,0,0,1,0,1,0,0,1,1
2972,0,0,1,1,0,0,0,1,0,2,2,1,1,1
2973,1,0,1,1,1,0,1,1,1,2,2,1,2,2
2974,0,1,1,2,1,1,1,1,1,2,3,1,2,2
2975,0,1,1,2,1,2,1,1,3,3,3,2,2,2
2976,0,1,4,3,1,2,2,1,3,3,3,2,3,3
2977,0,2,4,3,3,2,2,1,3,4,4,2,3,3
2978,1,3,4,3,4,3,3,2,3,4,4,2,3,3
2979,1,4,4,4,4,3,4,2,4,4,4,3,4,3
2980,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2981,0,1,1,0,1,0,0,0,0,0,0,2,0,0
2982,1,1,1,1,1,1,0,0,0,0,0,3,2,0
2983,1,2,1,2,1,1,0,1,0,0,1,4,3,0
2985,0,2,2,4,1,1,3,1,1,0,2,4,4,3
2986,1,2,3,4,1,1,3,2,2,2,2,4,4,3
2987,0,2,3,4,2,2,4,2,2,2,4,4,4,4
2988,0,4,3,4,4,2,4,2,2,3,4,4,4,4
2989,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2990,0,0,1,1,0,2,0,1,1,0,0,0,0,1
2991,1,0,1,1,1,2,1,1,1,0,0,1,2,1
2992,1,0,1,1,1,2,1,3,2,1,1,1,2,1
2993,0,0,2,1,1,3,1,4,3,2,1,2,2,1
2994,0,1,4,1,2,3,1,4,3,2,2,3,2,1
2995,1,1,4,3,2,3,3,4,3,3,2,3,2,2
2996,0,1,4,3,4,3,3,4,3,4,2,3,2,4
2997,0,3,4,3,4,3,4,4,3,4,2,4,2,4
2998,1,4,4,3,4,4,4,4,3,4,3,4,3,4
2999,0,0,0,1,0,0,0,0,1,0,1,1,1,0
3000,0,0,0,2,1,0,0,0,1,1,1,1,1,2
3001,1,1,1,2,1,2,0,0,1,1,2,1,1,2
3002,1,2,2,2,1,3,2,0,2,2,3,2,1,2
3003,0,3,2,2,1,3,3,1,2,2,3,3,2,3
3004,1,3,2,3,1,3,3,1,4,3,3,3,3,3
3005,0,4,3,3,1,4,3,2,4,3,4,3,3,4
3006,0,4,3,3,3,4,4,2,4,4,4,3,4,4
3007,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3008,0,0,0,0,0,0,1,1,0,0,1,1,0,1
3010,0,2,1,0,1,2,1,1,0,0,2,1,1,3
3011,0,2,2,0,1,2,2,2,0,1,2,1,2,3
3012,0,3,3,1,1,4,2,2,1,1,3,1,2,3
3013,1,3,3,2,2,4,2,2,3,2,3,1,3,3
3014,1,3,3,2,2,4,2,3,3,2,3,2,4,4
3015,0,4,3,2,2,4,3,3,3,3,3,3,4,4
3017,1,0,0,0,1,1,0,1,1,0,1,0,0,0
3018,0,0,0,0,2,1,1,1,2,1,1,0,0,1
3019,0,0,2,0,2,1,1,3,2,1,1,1,1,1
3020,0,0,4,1,2,1,1,3,2,2,1,2,2,1
3021,1,0,4,1,3,2,3,3,2,2,1,2,3,1
3023,0,2,4,4,3,2,4,4,3,4,1,3,3,3
3024,0,2,4,4,3,4,4,4,4,4,2,4,3,3
3025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3027,0,1,1,0,0,0,0,0,1,0,2,1,1,2
3028,0,1,1,0,0,0,1,0,1,0,3,2,1,3
3029,0,2,2,0,0,0,1,0,2,2,3,2,1,3
3030,1,2,2,1,0,3,1,1,2,2,4,2,1,3
3031,1,2,3,2,1,3,3,1,2,3,4,3,1,3
3032,1,3,3,3,1,3,3,1,3,3,4,4,2,3
3033,1,3,4,3,3,4,3,2,3,4,4,4,3,3
3034,0,4,4,3,3,4,4,2,4,4,4,4,3,4
3035,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3036,0,1,0,2,0,0,0,0,0,0,0,0,1,0
3037,0,1,1,2,1,0,2,1,0,1,0,0,1,0
3038,0,1,1,2,2,1,2,1,1,1,0,1,1,1
3039,1,1,1,3,3,1,3,1,1,2,0,1,2,1
3040,0,2,2,3,3,1,3,1,2,2,1,1,2,1
3041,1,2,2,4,3,1,4,2,2,2,3,1,2,1
3042,0,2,2,4,3,1,4,3,3,3,3,1,3,2
3043,0,2,4,4,3,1,4,4,3,4,4,1,3,3
3044,1,2,4,4,4,3,4,4,3,4,4,3,4,3
3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3046,0,2,0,0,0,1,0,0,0,0,0,1,0,0
3047,0,3,0,0,0,2,1,0,0,0,1,1,0,0
3048,0,3,0,1,1,2,1,2,0,0,1,2,0,0
3049,0,3,1,1,1,3,2,3,1,0,1,2,1,0
3050,1,3,2,2,1,3,2,3,1,0,2,2,1,2
3051,0,3,3,3,3,3,2,3,2,2,2,2,2,2
3052,0,3,4,3,3,4,2,3,2,3,2,4,2,2
3053,1,3,4,4,3,4,3,3,3,3,3,4,2,3
3055,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3056,1,0,0,0,1,1,0,1,0,0,0,1,1,0
3057,1,0,1,1,2,1,1,1,0,0,2,1,1,0
3058,0,0,3,1,2,2,3,3,0,1,2,1,1,1
3059,1,2,3,2,3,2,3,3,1,1,3,1,1,1
3060,0,3,3,2,4,3,4,3,1,1,3,2,2,2
3061,1,3,3,2,4,3,4,3,2,2,3,3,3,2
3062,1,3,3,2,4,4,4,4,3,3,3,3,3,3
3064,1,1,2,0,1,0,0,0,0,1,0,1,0,0
3065,0,2,2,0,1,0,0,0,0,2,0,2,1,0
3066,0,3,2,0,2,0,1,0,0,2,0,2,1,1
3067,0,3,3,1,2,0,1,0,1,2,0,2,2,2
3068,0,3,3,2,2,0,3,1,1,2,1,2,2,2
3069,1,4,3,2,2,2,3,3,1,2,1,2,2,3
3070,1,4,3,2,3,3,3,4,1,3,1,3,2,4
3071,0,4,3,4,4,3,3,4,3,3,1,4,4,4
3072,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3073,0,0,1,0,0,0,0,1,1,1,1,0,0,0
3074,1,0,1,1,0,0,1,2,1,2,1,0,1,0
3075,1,0,1,2,0,0,2,2,2,2,1,0,2,1
3076,1,1,3,2,1,1,2,2,2,2,3,1,2,1
3077,1,3,3,2,2,2,2,2,2,2,4,2,2,2
3078,0,4,4,3,2,3,2,2,3,3,4,3,2,2
3079,0,4,4,3,2,4,3,2,3,3,4,4,3,3
3080,0,4,4,4,2,4,4,4,4,3,4,4,4,3
3081,1,0,0,0,2,0,0,0,0,1,0,1,0,1
3082,0,0,1,0,2,1,0,0,0,2,1,2,0,1
3083,1,1,2,0,2,1,0,0,0,2,2,2,0,2
3084,1,1,2,0,2,1,0,1,0,2,2,3,2,2
3085,0,3,3,0,3,2,0,2,1,2,2,3,2,2
3086,0,3,3,1,3,3,1,2,2,3,2,3,2,2
3087,1,4,4,1,4,3,1,2,4,3,2,3,2,3
3088,1,4,4,4,4,3,2,2,4,4,2,3,4,3
3089,0,4,4,4,4,4,3,3,4,4,3,4,4,3
3090,1,0,1,0,0,0,1,1,0,0,1,0,0,1
3091,1,0,1,1,0,1,2,2,0,1,1,0,0,2
3093,1,2,2,2,1,1,2,3,3,1,1,1,1,2
3094,1,2,3,2,2,1,3,3,3,1,2,3,1,2
3095,0,2,3,3,2,2,4,3,4,2,2,3,1,3
3096,0,4,3,3,2,3,4,3,4,2,2,3,2,4
3098,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3099,0,0,0,0,1,0,0,0,0,0,1,2,1,0
3101,0,2,0,0,2,0,0,1,2,1,1,2,3,1
3103,0,3,1,3,3,1,1,2,3,1,1,3,3,2
3104,0,3,2,3,3,2,1,2,3,1,2,3,4,3
3105,1,3,3,3,4,2,3,2,3,2,2,4,4,3
3106,0,3,4,3,4,3,3,3,3,4,2,4,4,4
3107,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3108,0,0,0,0,0,1,0,0,0,0,2,0,0,1
3109,1,0,0,0,1,1,2,0,0,0,3,0,0,2
3110,1,1,0,0,1,2,2,0,1,0,3,1,0,2
3111,0,2,1,0,1,2,2,0,1,0,3,1,1,3
3112,1,2,1,0,2,3,3,0,1,0,4,1,2,3
3113,1,2,1,1,2,3,3,2,2,0,4,2,2,3
3114,1,3,1,3,2,3,4,2,2,0,4,2,3,4
3115,0,4,1,3,3,3,4,2,3,1,4,2,4,4
3116,0,4,2,3,3,4,4,3,4,1,4,3,4,4
3117,0,4,3,3,3,4,4,4,4,2,4,4,4,4
3118,1,0,1,1,1,0,0,0,0,2,1,0,0,0
3119,1,1,1,2,1,0,0,0,1,3,3,0,0,0
3120,1,2,1,2,1,1,0,0,1,3,3,1,0,1
3122,1,2,2,3,2,3,1,1,1,3,3,3,1,2
3123,1,2,2,3,2,3,2,1,2,4,3,3,2,3
3124,0,4,2,4,3,4,3,2,2,4,3,3,2,3
3125,1,4,3,4,4,4,3,2,4,4,3,4,3,3
3126,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3127,1,0,0,0,0,0,2,0,0,0,0,0,1,1
3128,1,1,1,0,0,0,2,0,1,1,0,2,1,1
3129,0,2,1,3,0,1,3,0,1,1,2,2,1,2
3130,1,2,2,4,0,2,3,0,2,1,3,2,1,3
3131,1,2,2,4,0,3,3,0,2,2,3,2,3,4
3132,0,3,3,4,0,3,3,0,3,3,3,3,3,4
3134,1,4,4,4,2,3,4,3,4,4,3,4,3,4
3135,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3137,1,0,2,2,3,2,1,0,1,1,0,0,1,1
3138,0,2,2,2,3,3,1,0,3,1,1,0,2,1
3139,0,2,3,2,4,3,1,0,3,1,3,1,2,1
3140,1,3,3,3,4,4,1,0,4,1,4,2,2,1
3141,1,4,3,3,4,4,3,1,4,2,4,2,2,2
3142,1,4,3,3,4,4,3,2,4,4,4,2,4,2
3143,1,4,3,4,4,4,3,3,4,4,4,4,4,3
3144,0,0,2,1,0,0,1,1,1,0,0,0,0,1
3145,1,0,2,1,0,0,1,1,1,2,0,1,0,2
3146,1,1,2,1,0,0,1,1,3,2,1,1,0,2
3147,1,2,2,1,0,0,2,1,3,2,1,1,2,2
3148,0,3,3,1,0,1,2,1,4,3,1,1,3,2
3149,0,3,3,2,0,2,2,2,4,3,1,3,3,2
3150,0,3,4,2,1,3,2,2,4,3,1,3,4,3
3151,0,3,4,2,1,3,3,3,4,4,2,3,4,4
3152,1,4,4,2,1,4,4,4,4,4,2,4,4,4
3153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3154,1,1,0,1,0,0,0,0,0,1,0,1,0,0
3155,0,2,1,1,0,1,1,0,1,1,0,1,1,0
3156,0,2,1,2,0,1,2,2,1,1,0,2,1,0
3157,0,2,1,2,0,2,2,3,1,1,2,2,1,1
3159,1,3,1,2,1,2,2,3,2,2,2,3,3,3
3160,0,4,2,2,2,2,2,3,2,2,3,3,3,4
3161,0,4,2,3,3,2,3,3,3,2,4,3,3,4
3162,0,4,4,3,4,3,3,3,4,3,4,3,3,4
3163,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3164,0,0,0,1,0,1,0,0,0,1,1,0,0,1
3165,1,1,1,2,0,2,0,1,0,2,1,0,0,2
3166,1,2,2,2,2,2,0,2,0,3,1,0,0,2
3167,1,2,2,2,3,3,0,2,2,3,1,1,0,2
3168,0,2,2,2,3,3,0,3,3,3,1,2,0,3
3169,1,3,3,3,4,3,0,3,3,3,1,2,1,4
3172,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3173,1,0,0,1,0,1,0,0,0,0,1,1,1,0
3174,1,0,1,1,0,1,0,1,0,2,1,1,1,1
3175,0,1,1,1,1,1,0,1,0,3,1,2,1,1
3176,0,2,1,2,3,1,1,2,0,4,1,2,1,1
3177,0,4,2,2,3,1,1,2,0,4,1,2,2,1
3178,0,4,2,2,3,1,2,3,0,4,1,3,2,2
3179,1,4,2,2,4,3,3,3,1,4,2,3,2,2
3180,1,4,2,3,4,4,4,3,3,4,2,3,3,2
3181,1,4,3,4,4,4,4,4,4,4,2,4,3,3
3182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3183,1,0,0,0,1,0,1,1,0,0,0,1,1,0
3184,1,0,2,1,1,1,1,2,1,0,0,2,1,0
3185,0,0,3,2,2,1,1,2,2,1,1,2,1,0
3186,0,1,3,3,2,2,1,2,2,1,1,2,1,1
3187,0,1,3,3,4,2,1,2,2,1,1,2,2,3
3188,0,2,3,4,4,2,1,3,2,2,1,2,4,3
3189,1,2,3,4,4,2,2,3,3,3,2,2,4,3
3190,1,3,3,4,4,3,2,4,3,3,2,4,4,4
3191,0,3,3,4,4,3,3,4,4,4,4,4,4,4
3192,0,2,1,1,0,1,1,1,0,0,0,0,0,0
3195,0,2,1,1,3,3,1,2,1,3,2,0,1,2
3196,1,2,1,2,3,3,2,2,1,3,2,1,1,3
3197,0,3,3,2,3,3,2,2,1,3,2,2,1,3
3198,0,3,3,2,3,3,3,2,3,3,3,3,3,3
3199,1,3,3,4,4,3,3,3,3,4,3,4,3,3
3200,0,4,4,4,4,3,3,3,4,4,4,4,4,3
3201,0,0,0,0,0,2,1,1,0,0,0,0,0,1
3202,0,1,3,0,0,2,1,1,1,0,0,1,0,1
3203,0,2,3,0,0,3,2,1,1,0,0,1,1,1
3204,1,2,3,3,1,3,2,1,1,1,1,1,1,1
3205,1,3,3,3,1,4,2,2,1,2,2,1,1,2
3206,0,3,4,3,1,4,3,3,1,3,2,1,2,3
3208,0,4,4,4,4,4,3,4,1,3,4,2,3,4
3209,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3210,0,0,1,0,0,1,0,0,0,0,0,2,1,0
3211,1,0,1,0,0,1,1,1,0,1,0,2,2,1
3212,1,0,1,0,0,1,1,1,1,2,1,2,3,1
3213,0,1,1,2,0,1,1,1,1,2,1,2,3,3
3214,0,1,1,2,0,3,1,1,1,2,1,2,4,4
3215,1,2,1,2,0,3,3,1,1,2,1,3,4,4
3216,1,2,1,3,1,4,3,2,2,2,1,4,4,4
3217,1,3,1,4,1,4,3,3,2,2,3,4,4,4
3218,0,4,2,4,3,4,3,3,3,2,4,4,4,4
3219,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3221,0,0,1,1,0,0,0,2,1,1,1,1,2,0
3222,0,0,1,3,1,0,0,2,1,1,2,1,2,1
3223,1,1,1,3,1,0,0,2,2,2,2,2,2,1
3224,0,1,1,3,1,1,1,2,3,2,2,2,3,2
3225,0,2,2,3,1,3,1,2,3,3,2,2,3,2
3226,1,2,2,4,3,3,1,3,3,3,3,2,3,2
3227,0,2,3,4,3,3,3,3,4,3,4,2,3,3
3228,1,2,3,4,4,3,4,3,4,4,4,2,3,4
3229,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3230,0,1,0,0,1,0,0,0,0,0,0,1,1,0
3232,0,1,2,1,1,0,0,2,0,3,0,2,2,1
3233,1,1,3,1,1,2,0,2,0,3,0,2,3,2
3234,1,2,3,2,1,2,0,2,1,3,1,2,3,3
3235,1,3,3,2,1,2,1,2,1,3,1,3,4,3
3236,0,3,3,3,2,2,1,3,2,3,2,3,4,4
3237,1,3,4,4,3,3,4,3,2,3,2,3,4,4
3239,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3240,0,0,0,0,1,0,0,2,0,1,0,1,0,0
3241,1,0,0,0,1,0,0,2,1,1,0,1,1,2
3242,0,1,0,1,2,0,1,2,1,1,0,2,1,4
3243,1,2,2,3,2,1,2,2,1,1,0,2,1,4
3244,1,4,3,3,2,1,2,2,2,2,0,2,1,4
3245,0,4,3,4,2,2,2,2,2,2,1,2,3,4
3246,1,4,3,4,2,2,3,2,3,3,2,2,3,4
3247,0,4,4,4,3,3,3,3,4,3,3,2,3,4
3248,0,4,4,4,3,3,4,3,4,3,4,4,3,4
3249,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3250,0,0,0,0,0,0,1,1,1,0,1,0,1,0
3251,1,0,1,0,0,0,3,1,2,1,1,0,1,0
3252,1,1,1,0,0,0,3,1,3,1,1,1,2,0
3254,1,3,2,1,0,1,3,1,3,2,2,1,3,1
3255,1,3,3,1,2,2,3,1,3,2,2,2,3,2
3256,0,3,4,1,3,3,3,2,3,3,3,2,3,2
3257,0,4,4,1,3,3,3,2,4,4,3,3,3,2
3259,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3260,0,1,0,1,0,0,0,0,1,0,0,2,0,1
3261,0,1,0,2,0,1,0,0,1,1,1,2,1,1
3262,1,2,1,2,0,2,0,0,2,2,1,2,1,2
3263,0,2,1,2,0,2,1,1,3,2,3,2,1,2
3264,1,2,2,2,1,3,1,1,3,2,4,2,2,2
3265,1,2,3,2,1,3,2,1,4,4,4,3,2,2
3266,1,2,4,2,3,3,3,2,4,4,4,3,3,3
3267,1,3,4,2,3,4,3,3,4,4,4,4,3,3
3268,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3269,0,1,0,1,1,0,0,0,1,1,0,0,1,0
3270,0,1,0,1,2,2,0,0,1,2,0,0,1,1
3271,1,1,1,1,2,2,2,0,1,3,1,0,1,1
3272,1,1,1,1,3,3,2,0,1,3,3,0,1,2
3273,0,2,1,1,3,4,3,0,1,4,4,1,1,2
3274,0,2,1,2,3,4,4,1,1,4,4,1,2,3
3275,1,2,1,2,3,4,4,2,1,4,4,4,2,3
3276,0,3,2,3,4,4,4,3,1,4,4,4,3,4
3277,1,4,3,3,4,4,4,4,3,4,4,4,3,4
3278,0,0,1,1,0,0,0,1,1,0,1,0,1,0
3279,0,1,1,1,3,0,0,1,1,1,1,0,1,0
3280,1,3,2,1,4,1,0,1,1,1,1,1,1,0
3281,0,3,2,2,4,1,2,1,1,2,1,1,2,0
3282,0,3,3,2,4,2,2,1,1,2,3,1,2,1
3283,1,3,3,3,4,4,2,3,1,3,3,1,2,1
3284,0,3,3,3,4,4,2,3,3,4,4,1,2,1
3286,1,4,4,3,4,4,3,4,3,4,4,2,3,4
3287,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3288,0,0,1,0,1,0,1,0,0,0,1,0,0,1
3289,1,1,1,0,1,0,1,0,0,0,2,1,0,2
3290,0,1,2,0,1,1,1,0,0,1,2,1,1,3
3291,1,2,2,0,1,1,2,0,0,1,3,1,2,3
3292,1,2,2,0,1,3,2,2,0,1,4,1,2,3
3293,0,3,3,1,1,3,2,3,1,1,4,1,4,3
3294,0,4,3,2,2,3,2,4,1,1,4,3,4,3
3295,1,4,4,2,3,3,2,4,2,3,4,4,4,3
3296,0,4,4,3,3,4,2,4,3,4,4,4,4,4
3297,1,0,0,2,1,0,2,0,1,0,0,0,0,0
3298,0,0,2,2,3,1,2,0,1,0,1,0,0,1
3299,0,0,2,3,3,2,2,0,2,0,1,1,1,1
3300,1,1,2,3,3,2,2,1,2,0,1,1,3,2
3301,0,2,2,3,4,2,2,2,2,0,1,2,3,2
3302,1,2,2,3,4,2,2,3,2,1,1,3,4,2
3303,0,3,2,3,4,3,2,4,3,2,2,3,4,2
3304,1,3,2,3,4,4,2,4,4,2,4,4,4,2
3305,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3306,0,1,0,0,1,0,0,0,0,3,0,0,0,1
