,stand,hit,double down,split,surrender
upcard: 2 hand: 15,-27.63587943,-41.94364162,-73.70030581,0,-50
upcard: 7 hand: 17,-10.70039017,-46.26865672,-76.19047619,0,-50
upcard: 10 hand: 15,-54.08072845,-50.33795653,-107.6233184,0,-50
upcard: 2 hand: 14,-28.96115325,-40.38556599,-64.63878327,0,-50
upcard: A hand: 20,61.43472332,-78.94736842,-171.4285714,0.485436893,-50
upcard: 4 hand: K K,64.0432295,-119.047619,-176.9230769,23.45276873,-50
upcard: 4 hand: 18,17.62707538,-59.01639344,-156.6666667,0,-50
upcard: 9 hand: 18,-18.76321414,-60.98191214,-106.3157895,0,-50
upcard: 9 hand: 20,75.41153631,-92.59259259,-200,-425,-50
upcard: 3 hand: 13,-24.55285149,-29.18973967,-75,0,-50
upcard: A hand: 11,-66.34615385,11.94436045,17.10571469,0,-50
upcard: A hand: 17,-46.35561121,-57.72602054,-108.8888889,0,-50
upcard: 5 hand: 16,-14.09117118,-42.76568502,-105.3191489,0,-50
upcard: 2 hand: 20,63.40231706,-103.7037037,-160,-38.02816901,-50
upcard: 2 hand: 19,38.07724117,-72.88135593,-145.4545455,0,-50
upcard: 2 hand: Q Q,62.73221281,-100,-176.9230769,20.70175439,-50
upcard: 3 hand: A 2,-9.607686149,5.115712546,7.200137967,0,-50
upcard: 10 hand: 20,56.27300167,-84.21052632,-158.8235294,-300,-50
upcard: 5 hand: 14,-13.54193048,-33.20488118,-60.84142395,0,-50
upcard: 8 hand: 20,79.06647575,-82.75862069,-200,23.24561404,-50
upcard: 10 hand: 3 3,-55.20934761,-33.10665464,-113.2075472,-67.34693878,-50
upcard: 3 hand: 19,39.77750231,-65.15151515,-200,0,-50
upcard: 7 hand: 11,-52.63157895,29.74325967,47.65638096,0,-50
upcard: 4 hand: 7,-19.32498639,-3.5648226,-22.8422619,0,-50
upcard: 4 hand: 16,-18.47905673,-42.98076923,-121.4285714,0,-50
upcard: 6 hand: K K,67.3432912,-71.42857143,-169.2307692,32.28346457,-50
upcard: 6 hand: 17,2.459469038,-63.03030303,-96,0,-50
upcard: 6 hand: A 10,126.6091171,45.26315789,98.25327511,0,-50
upcard: 8 hand: 16,-50.94269871,-45.59330439,-89.85915493,0,-50
upcard: A hand: 6,-65.5511811,-34.57061969,-133.8235294,0,-50
upcard: A hand: 13,-60.78316774,-42.23357592,-97.00854701,0,-50
upcard: 9 hand: 10,-66.98113208,11.76117196,13.88628588,0,-50
