,stand,hit,double down,split,surrender
upcard: A hand: 16 cv bin: 1,-55.14346479608961,-53.45121431614811,-134.23423423423432,0.0,0
upcard: 2 hand: 12 cv bin: 1,-28.628286338920365,-25.118282334790305,-43.33525678015005,0.0,0
upcard: 7 hand: 13 cv bin: 1,-45.36301006889236,-27.505437510456733,-56.865284974093264,0.0,0
upcard: 7 hand: 17 cv bin: 1,-10.290418666225408,-45.78754578754579,-72.77486910994766,0.0,0
upcard: 4 hand: 10 cv bin: 1,-24.064171122994644,28.99200623903295,55.19468633142445,0.0,0
upcard: 4 hand: 21 cv bin: 1,87.47921516461594,-105.26315789473684,0.0,0.0,0
upcard: 10 hand: 18 cv bin: 1,-17.296060471277997,-57.906458797327396,-122.22222222222224,0.0,0
upcard: 10 hand: 16 cv bin: 1,-53.501225712729465,-53.05252818523886,-96.62337662337659,0.0,0
upcard: 6 hand: 6 cv bin: 1,-16.224489795918398,4.243651396270987,-27.63419483101391,0.0,0
upcard: 5 hand: 19 cv bin: 2,50.154772860369654,-70.58823529411767,-129.16666666666666,0.0,0
upcard: 9 hand: 15 cv bin: 2,-55.83743531490589,-52.86798947155263,-118.93491124260353,0.0,0
upcard: 9 hand: 14 cv bin: 1,-54.24506654428638,-43.41397113823312,-92.28187919463083,0.0,0
upcard: 5 hand: 13 cv bin: 1,-13.458137384943134,-25.174076057846815,-53.31807780320368,0.0,0
upcard: 5 hand: 10 cv bin: 1,-14.522821576763484,30.32075852330037,57.632041394122794,0.0,0
upcard: 5 hand: 18 cv bin: 1,21.19704462849318,-56.19834710743802,-156.0,0.0,0
upcard: 5 hand: 9 cv bin: 2,-10.288065843621402,28.535246939636977,47.921585461830084,0.0,0
upcard: 5 hand: 15 cv bin: 2,-5.312513381196376,-43.383947939262455,-79.54545454545455,0.0,0
upcard: 9 hand: 19 cv bin: 2,26.487816977999987,-90.9090909090909,-163.63636363636363,0.0,0
upcard: 2 hand: 16 cv bin: 2,-23.946469248291685,-58.453237410071964,-115.55555555555556,0.0,0
upcard: 10 hand: 14 cv bin: 2,-56.009362759147756,-51.22330375720443,-112.1951219512195,0.0,0
upcard: 10 hand: 18 cv bin: 2,-20.751389337681427,-64.75195822454317,-110.30927835051547,0.0,0
upcard: 7 hand: A 9 cv bin: 2,81.3715953307393,34.87544483985765,57.00712589073633,0.0,0
upcard: 7 hand: 13 cv bin: 2,-48.8084326306141,-32.51508138255431,-73.39667458432305,0.0,0
upcard: 7 hand: 16 cv bin: 2,-48.09480401093905,-45.13360685609514,-88.44086021505372,0.0,0
upcard: 8 hand: A 5 cv bin: 1,-34.92569002123145,-8.518684699698774,-31.306306306306283,0.0,0
upcard: 8 hand: A 7 cv bin: 1,11.617598774214727,-0.4839419269687619,-13.31658291457285,0.0,0
upcard: 10 hand: 11 cv bin: 1,-58.992805755395686,12.246186956114933,16.575416708143965,0.0,0
upcard: 10 hand: 21 cv bin: 1,96.15516218805658,-95.45454545454548,0.0,0.0,0
upcard: 3 hand: 11 cv bin: 1,-24.59893048128342,29.172099087353317,56.60776554480272,0.0,0
