,stand,hit,double down,split,surrender
upcard: 10 hand: 12 cv bin: 3,-56.1386615310544,-37.797691342701704,-131.1827956989248,0.0,0
upcard: 10 hand: 14 cv bin: 1,-51.99284888000834,-44.085897013186134,-114.02439024390246,0.0,0
upcard: 10 hand: 20 cv bin: 1,56.8635108305995,-72.0,-157.89473684210526,-100.0,0
upcard: 10 hand: 12 cv bin: 1,-51.30168453292499,-36.83390090651848,-76.47058823529423,0.0,0
upcard: 10 hand: 11 cv bin: 0,-61.783439490445886,8.899671516847574,9.33654051362314,0.0,0
upcard: 10 hand: 8 cv bin: 0,-53.59565807327003,-22.069638455217586,-70.3030303030303,0.0,0
upcard: 5 hand: A 2 cv bin: 3,6.478511866581132,7.806031933766994,19.37325905292473,0.0,0
upcard: 5 hand: A 7 cv bin: 3,28.812145478812134,17.541613316261152,28.933092224231466,0.0,0
upcard: 5 hand: 18 cv bin: 3,20.636882325073525,-68.75000000000001,-103.92156862745098,0.0,0
upcard: 7 hand: 18 cv bin: 6,45.8163071777103,-48.35164835164835,-102.63157894736842,0.0,0
upcard: 10 hand: 9 cv bin: 6,-61.45833333333334,-16.91610662928524,-58.93271461716941,0.0,0
upcard: 2 hand: 14 cv bin: 6,-24.147711561100095,-41.86851211072661,-77.32342007434947,0.0,0
upcard: 6 hand: 14 cv bin: 6,1.8625937097458098,-34.545454545454525,-79.16666666666664,0.0,0
upcard: 2 hand: 18 cv bin: 6,12.86125905876186,-81.81818181818178,-122.72727272727273,0.0,0
upcard: 7 hand: A 3 cv bin: 6,-18.294849023090546,-0.3382885458357151,-20.180475799835946,0.0,0
upcard: 7 hand: 14 cv bin: 3,-47.98224374495561,-32.809612931682054,-72.48908296943235,0.0,0
upcard: 10 hand: 12 cv bin: 2,-53.43193022373911,-37.28729230003683,-79.05405405405405,0.0,0
upcard: 9 hand: Q Q cv bin: 2,75.40229885057487,-82.14285714285712,-200.0,-60.526315789473685,0
upcard: 5 hand: 11 cv bin: 0,-17.391304347826104,28.4061474702124,51.951591704963604,0.0,0
upcard: 10 hand: 18 cv bin: 0,-13.763245389528164,-72.01646090534973,-133.33333333333334,0.0,0
upcard: 7 hand: 13 cv bin: 0,-57.79816513761468,-24.125607798989055,-55.87431693989073,0.0,0
upcard: 7 hand: 9 cv bin: 0,-51.704545454545446,14.117195407112682,-2.167042889390517,0.0,0
upcard: 7 hand: 15 cv bin: 0,-49.71941638608302,-30.09641809976376,-66.14853195164076,0.0,0
upcard: 7 hand: 20 cv bin: 0,75.5291570972262,-93.10344827586206,-200.0,15.068493150684942,0
upcard: 4 hand: 14 cv bin: 0,-26.566478222600313,-31.2912025460332,-54.70653377630124,0.0,0
upcard: 10 hand: A 5 cv bin: 0,-42.45760845628712,-12.935006024523387,-36.883116883116905,0.0,0
upcard: 6 hand: 10 cv bin: 3,-16.753926701570677,34.94791666666665,61.51835968909141,0.0,0
upcard: 3 hand: 16 cv bin: 5,-21.809331425525368,-50.8176100628931,-149.99999999999997,0.0,0
upcard: 3 hand: 18 cv bin: 5,15.855055414525426,-75.75757575757576,-88.73239436619718,0.0,0
upcard: 3 hand: 20 cv bin: 5,64.00514494904549,-103.44827586206897,-185.71428571428572,-600.0,0
upcard: 3 hand: 21 cv bin: 5,87.80529172320205,-104.76190476190476,0.0,0.0,0
upcard: 10 hand: 19 cv bin: 6,3.509822539401435,-87.75510204081633,-143.5897435897436,0.0,0
upcard: 3 hand: 17 cv bin: 5,-9.327299124952527,-52.30769230769233,-120.0,0.0,0
upcard: 5 hand: 11 cv bin: 3,-26.428571428571427,35.6859635210151,70.63660147003903,0.0,0
upcard: 4 hand: 8 cv bin: 6,-3.5747021081576555,15.77730051214278,17.36187445762215,0.0,0
