upcard,hand,odds
6,"10,8",0.213657
6,"10,9",0.44512
7,"2,A",0.11542
7,"3,A",0.070361
7,"3,2",-0.119474
7,"4,A",0.035241
7,"4,2",-0.157581
7,"4,3",-0.069733
7,"5,A",-0.014048
7,"5,2",-0.068246
7,"5,3",0.087228
7,"5,4",0.185696
7,"6,A",0.056572
7,"6,2",0.087274
7,"6,3",0.184615
7,"6,4",0.433498
7,"6,5",0.482822
7,"7,A",0.406211
7,"7,2",0.178602
7,"7,3",0.419128
7,"7,4",0.476435
7,"7,5",-0.233995
7,"7,6",-0.298211
7,"8,A",0.615245
7,"8,2",0.404348
7,"8,3",0.4678
7,"8,4",-0.228519
7,"8,5",-0.297051
7,"8,6",-0.334295
7,"8,7",-0.347657
7,"9,A",0.773306
7,"9,2",0.459573
7,"9,3",-0.229396
7,"9,4",-0.271343
7,"9,5",-0.334046
7,"9,6",-0.366618
7,"9,7",-0.395393
7,"9,8",-0.115314
7,"10,A",1.5
7,"10,2",-0.212296
7,"10,3",-0.269685
7,"10,4",-0.331372
7,"10,5",-0.367207
7,"10,6",-0.395986
7,"10,7",-0.113423
7,"10,8",0.394125
7,"10,9",0.613132
8,"2,A",0.047092
8,"3,A",0.023364
8,"3,2",-0.184992
8,"4,A",-0.031172
8,"4,2",-0.225061
8,"4,3",-0.218958
8,"5,A",-0.074952
8,"5,2",-0.213954
8,"5,3",-0.058521
8,"5,4",0.103089
8,"6,A",-0.06923
8,"6,2",-0.057871
8,"6,3",0.107275
8,"6,4",0.301684
8,"6,5",0.358694
8,"7,A",0.112712
8,"7,2",0.102664
8,"7,3",0.30537
8,"7,4",0.345736
8,"7,5",-0.295155
8,"7,6",-0.357661
8,"8,A",0.600309
8,"8,2",0.289844
8,"8,3",0.34064
8,"8,4",-0.294556
8,"8,5",-0.354027
8,"8,6",-0.37056
8,"8,7",-0.398844
8,"9,A",0.788331
8,"9,2",0.339415
8,"9,3",-0.293204
8,"9,4",-0.330989
8,"9,5",-0.3709
8,"9,6",-0.418707
8,"9,7",-0.443663
8,"9,8",-0.398522
8,"10,A",1.5
8,"10,2",-0.272918
8,"10,3",-0.326012
8,"10,4",-0.364851
8,"10,5",-0.417242
8,"10,6",-0.442171
8,"10,7",-0.388541
8,"10,8",0.100441
8,"10,9",0.585476
9,"2,A",-0.026478
9,"3,A",-0.067765
9,"3,2",-0.264622
9,"4,A",-0.112885
9,"4,2",-0.298318
9,"4,3",-0.294654
9,"5,A",-0.157242
9,"5,2",-0.285291
9,"5,3",-0.213878
9,"5,4",-0.051958
9,"6,A",-0.142237
9,"6,2",-0.20927
9,"6,3",-0.051695
9,"6,4",0.154562
9,"6,5",0.23428
9,"7,A",-0.093889
9,"7,2",-0.052203
9,"7,3",0.148805
9,"7,4",0.226106
9,"7,5",-0.363849
9,"7,6",-0.402296
9,"8,A",0.287702
9,"8,2",0.158168
9,"8,3",0.221597
9,"8,4",-0.366689
9,"8,5",-0.399877
9,"8,6",-0.433777
9,"8,7",-0.457744
9,"9,A",0.761849
9,"9,2",0.220808
9,"9,3",-0.365198
9,"9,4",-0.376489
9,"9,5",-0.428554
9,"9,6",-0.47541
9,"9,7",-0.496081
9,"9,8",-0.417488
9,"10,A",1.5
9,"10,2",-0.342118
9,"10,3",-0.373504
9,"10,4",-0.422586
9,"10,5",-0.473409
9,"10,6",-0.49473
9,"10,7",-0.419976
9,"10,8",-0.189406
9,"10,9",0.276287
2,"A,A",0.516612
2,"2,2",-0.061513
2,"3,3",-0.120005
2,"4,4",-0.018168
2,"5,5",0.399936
2,"6,6",-0.153417
2,"7,7",-0.091811
2,"8,8",0.091351
2,"9,9",0.199594
2,"10,10",0.628556
3,"A,A",0.564088
3,"2,2",0.012583
3,"3,3",-0.034121
3,"4,4",0.016921
3,"5,5",0.457065
3,"6,6",-0.049705
3,"7,7",0.005358
3,"8,8",0.167276
3,"9,9",0.236908
3,"10,10",0.63914
4,"A,A",0.616184
4,"2,2",0.094093
4,"3,3",0.096771
4,"4,4",0.065674
4,"5,5",0.521155
4,"6,6",0.064861
4,"7,7",0.119652
4,"8,8",0.22215
4,"9,9",0.313418
4,"10,10",0.64879
5,"A,A",0.672616
5,"2,2",0.225069
5,"3,3",0.213821
5,"4,4",0.17565
5,"5,5",0.598262
5,"6,6",0.179514
5,"7,7",0.186891
5,"8,8",0.312904
5,"9,9",0.397409
5,"10,10",0.670048
6,"A,A",0.709899
6,"2,2",0.296358
6,"3,3",0.283422
6,"4,4",0.244279
6,"5,5",0.634229
6,"6,6",0.198094
6,"7,7",0.248792
6,"8,8",0.365032
6,"9,9",0.435645
6,"10,10",0.673275
7,"A,A",0.501347
7,"2,2",0.011632
7,"3,3",-0.047684
7,"4,4",0.095816
7,"5,5",0.429428
7,"6,6",-0.229024
7,"7,7",-0.047451
7,"8,8",0.313354
7,"9,9",0.399873
7,"10,10",0.769342
8,"A,A",0.378075
8,"2,2",-0.151141
8,"3,3",-0.223474
8,"4,4",-0.057427
8,"5,5",0.305454
8,"6,6",-0.295476
8,"7,7",-0.387476
8,"8,8",-0.041918
8,"9,9",0.220677
8,"10,10",0.787591
9,"A,A",0.258121
9,"2,2",-0.231968
9,"3,3",-0.300754
9,"4,4",-0.208672
9,"5,5",0.159119
9,"6,6",-0.362092
9,"7,7",-0.452235
9,"8,8",-0.394672
9,"9,9",-0.088558
9,"10,10",0.751376
