,stand,hit,double down,split,surrender
upcard: 5 hand: 16 cv bin: 2,-4.315476190476214,-42.47572815533979,-115.51724137931035,0.0,0
upcard: 2 hand: 16 cv bin: 2,-24.490221099507767,-52.742616033755276,-113.48314606741573,0.0,0
upcard: 10 hand: 20 cv bin: 2,54.98336773789015,-86.48648648648648,-200.0,-19.25925925925926,0
upcard: 8 hand: 16 cv bin: 1,-51.15384615384624,-45.622818390346346,-105.94594594594595,0.0,0
upcard: 8 hand: 19 cv bin: 1,58.55860756051127,-90.9090909090909,-166.66666666666666,0.0,0
upcard: 10 hand: 11 cv bin: 1,-53.246753246753244,11.060720584530111,18.03910112845836,0.0,0
upcard: A hand: 17 cv bin: 2,-43.83671567612356,-65.23642732049028,-120.16806722689078,0.0,0
upcard: 4 hand: 12 cv bin: 1,-19.258354473989126,-21.345047721383008,-34.59488272921112,0.0,0
upcard: 6 hand: 4 4 cv bin: 1,-5.9479553903345765,16.45728643216081,16.862745098039234,20.07759456838021,0
upcard: 9 hand: 18 cv bin: 2,-22.90203525870705,-66.96696696696691,-124.6376811594203,0.0,0
upcard: 4 hand: 15 cv bin: 1,-18.79997312369824,-38.19241982507289,-107.77777777777774,0.0,0
upcard: 10 hand: 14 cv bin: 1,-55.61591028561418,-45.96270912060373,-94.94949494949498,0.0,0
upcard: 6 hand: 11 cv bin: 1,-9.743589743589743,34.05692233478045,72.8536949775883,0.0,0
upcard: 10 hand: 17 cv bin: 1,-41.85102513939969,-56.79881437569468,-126.66666666666667,0.0,0
upcard: 3 hand: A A cv bin: 1,-8.7378640776699,3.8709677419354853,10.416666666666673,56.73316708229429,0
upcard: 9 hand: 11 cv bin: 0,-39.90825688073393,11.819616994989405,12.464772193518098,0.0,0
upcard: 9 hand: A 8 cv bin: 1,29.629259518337175,-7.458563535911604,4.14746543778802,0.0,0
upcard: 3 hand: 19 cv bin: 1,39.5336969349028,-75.47169811320757,-100.0,0.0,0
upcard: 4 hand: A 2 cv bin: 0,-8.823529411764712,8.89767671774592,5.511811023622052,0.0,0
upcard: 4 hand: 13 cv bin: 0,-25.105254051560067,-25.748025516403448,-49.44933920704848,0.0,0
upcard: 5 hand: 7 cv bin: 0,-16.976604679064142,-3.1925532733287207,-16.523727844482572,0.0,0
upcard: 5 hand: 17 cv bin: 0,-10.250553548537505,-50.78947368421051,-138.63636363636363,0.0,0
upcard: 10 hand: 19 cv bin: 1,7.617081995617393,-66.92307692307689,-116.3265306122449,0.0,0
upcard: 10 hand: 20 cv bin: 1,56.44825816044758,-84.21052631578948,-127.27272727272727,-360.0,0
upcard: 3 hand: 16 cv bin: 0,-29.765376746615598,-43.492723492723485,-80.23255813953492,0.0,0
upcard: 3 hand: 17 cv bin: 0,-16.213696520135397,-48.52686308492196,-108.33333333333333,0.0,0
upcard: 2 hand: 15 cv bin: 1,-28.738610716375437,-42.57343814646253,-76.12456747404846,0.0,0
upcard: 4 hand: A 6 cv bin: 1,4.054054054054055,7.639208467556377,11.665461557001677,0.0,0
upcard: 4 hand: A 7 cv bin: 1,23.998397435897452,7.4183976261127595,30.44982698961942,0.0,0
upcard: 3 hand: 14 cv bin: 1,-23.782126856873454,-34.27762039660062,-64.3979057591623,0.0,0
upcard: 3 hand: 15 cv bin: 1,-22.64439985328056,-41.68421052631576,-100.89285714285714,0.0,0
upcard: 10 hand: 7 cv bin: 2,-52.58342303552208,-36.5700641415793,-104.76190476190473,0.0,0
upcard: 10 hand: 16 cv bin: 2,-55.72098064845231,-58.36055329905997,-141.83673469387756,0.0,0
upcard: 7 hand: 20 cv bin: 2,79.55532558759434,-100.0,-181.8181818181818,13.83647798742139,0
upcard: 9 hand: 13 cv bin: 1,-56.57582938388626,-39.03914082848715,-85.01628664495105,0.0,0
upcard: 3 hand: 17 cv bin: 1,-11.503283582089418,-48.458149779735685,-145.0,0.0,0
upcard: 5 hand: 8 8 cv bin: 1,-15.827338129496413,-42.857142857142854,-47.5609756097561,39.523212045169394,0
upcard: 2 hand: A 8 cv bin: 1,40.67085953878402,13.027522935779821,21.73913043478259,0.0,0
upcard: 8 hand: 10 cv bin: 1,-59.550561797752806,20.10225424122703,28.78448918717376,0.0,0
upcard: 10 hand: 9 cv bin: 2,-59.83379501385041,-17.062053969670075,-38.529176658673094,0.0,0
upcard: 8 hand: 20 cv bin: 2,80.60455687010196,-74.19354838709677,-181.8181818181818,-143.75,0
upcard: 5 hand: 14 cv bin: 2,-5.627488653133975,-40.00000000000004,-59.64125560538119,0.0,0
upcard: 5 hand: 18 cv bin: 2,27.50072438105654,-63.095238095238095,-145.83333333333334,0.0,0
upcard: 4 hand: 15 cv bin: 2,-11.187295048646323,-42.474916387959844,-73.29545454545452,0.0,0
upcard: 4 hand: 21 cv bin: 2,89.87012987012989,-106.25,0.0,0.0,0
upcard: 7 hand: 16 cv bin: 2,-48.19786835896192,-44.512389793462646,-84.39897698209722,0.0,0
upcard: 7 hand: 14 cv bin: 2,-47.45069745069745,-37.99692034093176,-76.34660421545674,0.0,0
upcard: 8 hand: 7 cv bin: 1,-49.2822966507177,-22.284919856068107,-77.60416666666676,0.0,0
upcard: 3 hand: 14 cv bin: 2,-17.16854980823051,-41.796008869179616,-72.1461187214612,0.0,0
upcard: 3 hand: 20 cv bin: 1,64.43892045454544,-82.35294117647058,-183.33333333333334,-240.0,0
upcard: 8 hand: A 5 cv bin: 1,-38.77551020408165,-8.987020316027108,-25.90420332355816,0.0,0
upcard: 2 hand: 14 cv bin: 2,-23.914780958089796,-41.3449564134496,-85.63218390804595,0.0,0
upcard: 10 hand: 14 cv bin: 2,-56.05775688381466,-50.832346248175014,-88.86554621848738,0.0,0
upcard: 6 hand: 9 9 cv bin: 2,30.03300330033004,-52.27272727272727,-109.0909090909091,64.61427019195928,0
upcard: 6 hand: 18 cv bin: 2,30.377246691684803,-60.97560975609756,-168.42105263157896,0.0,0
upcard: 6 hand: 4 4 cv bin: 0,-17.55485893416929,10.49347702779353,-177.77777777777777,10.850599781897484,0
upcard: 3 hand: 15 cv bin: 2,-17.36672051696279,-46.30969609261939,-111.39240506329114,0.0,0
upcard: 4 hand: 10 cv bin: 1,-8.812260536398467,26.749539594843455,57.12345936912471,0.0,0
upcard: 4 hand: 16 cv bin: 1,-17.557580359402714,-51.136363636363626,-130.9090909090909,0.0,0
upcard: 9 hand: 12 cv bin: 1,-52.33933161953729,-36.490655414684454,-73.82550335570468,0.0,0
upcard: 10 hand: 15 cv bin: 1,-53.74285284381597,-50.31174061631699,-103.5714285714286,0.0,0
upcard: 5 hand: 11 cv bin: 1,-13.333333333333334,37.39021329987453,72.87139432371897,0.0,0
upcard: 5 hand: 21 cv bin: 1,89.47098099640472,-100.0,0.0,0.0,0
upcard: 4 hand: 19 cv bin: 1,41.874031838106724,-73.58490566037736,-157.89473684210526,0.0,0
upcard: 8 hand: 7 7 cv bin: 1,-54.07969639468692,-44.59893048128343,-85.53459119496856,-37.54208754208758,0
upcard: 10 hand: 7 cv bin: 1,-52.72161741835148,-32.42710211006178,-119.35483870967738,0.0,0
upcard: 10 hand: 9 cv bin: 0,-60.810810810810814,-13.209143754138989,-64.23076923076924,0.0,0
upcard: 10 hand: 10 10 cv bin: 0,58.355219960604074,-96.42857142857144,-210.0,-15.094339622641511,0
upcard: 3 hand: 5 cv bin: 0,-30.937880633373933,-12.009116409537192,-56.22489959839356,0.0,0
upcard: 8 hand: 11 cv bin: 0,-65.06024096385543,20.8333333333334,25.822237396153383,0.0,0
upcard: 8 hand: 16 cv bin: 0,-51.80755640119595,-41.14418789377707,-73.43485617597287,0.0,0
upcard: 2 hand: 20 cv bin: 0,63.44663634077778,-87.5,-200.0,-12.318840579710148,0
upcard: 2 hand: A 5 cv bin: 0,-20.17543859649121,-3.5130357931948724,-5.932984936981253,0.0,0
upcard: 8 hand: 10 cv bin: 0,-48.90510948905109,14.873949579831933,20.12895535327275,0.0,0
upcard: 4 hand: 19 cv bin: 0,38.51470071453647,-74.54545454545455,-129.62962962962962,0.0,0
upcard: 6 hand: A 2 cv bin: 0,-6.736526946107782,12.202480724103257,14.406041243101942,0.0,0
upcard: 7 hand: 8 cv bin: 0,-54.60122699386503,6.84735202492212,-23.07692307692307,0.0,0
upcard: 5 hand: A 2 cv bin: 2,17.470525187566963,14.416775884665798,32.908801455537784,0.0,0
upcard: 5 hand: A 6 cv bin: 1,7.742537313432845,11.135857461024493,25.637418674169115,0.0,0
upcard: 5 hand: 17 cv bin: 1,-3.396504420282505,-45.821325648414984,-132.5581395348837,0.0,0
upcard: 7 hand: A 4 cv bin: 2,-25.34351145038168,-2.030988274706866,-11.428571428571436,0.0,0
upcard: A hand: 8 cv bin: 2,-57.5609756097561,-24.196392241963913,-112.34567901234566,0.0,0
upcard: A hand: 10 cv bin: 2,-67.34693877551024,6.091370558375637,12.273808292834257,0.0,0
upcard: A hand: 15 cv bin: 2,-56.846532183334496,-54.908157219040014,-108.83720930232558,0.0,0
upcard: 10 hand: 18 cv bin: 2,-20.84387686145668,-79.61165048543685,-138.18181818181822,0.0,0
upcard: 9 hand: 12 cv bin: 2,-57.5534759358289,-38.7907634667588,-94.49541284403664,0.0,0
upcard: 2 hand: 9 cv bin: 2,-16.3538873994638,9.437751004016063,21.756264406275534,0.0,0
upcard: 10 hand: 10 cv bin: 2,-53.0,4.032785952130246,4.902225826800087,0.0,0
upcard: 9 hand: 17 cv bin: 2,-44.42702774813226,-61.72768878718538,-108.43373493975906,0.0,0
upcard: 8 hand: 14 cv bin: 2,-54.092071611253196,-42.27553688881852,-87.5796178343949,0.0,0
upcard: 2 hand: 12 cv bin: 1,-29.332050356827867,-26.056541596808653,-53.17460317460321,0.0,0
upcard: 3 hand: 7 cv bin: 2,-14.076782449725776,-2.9635145197319503,-20.019821605550057,0.0,0
upcard: 3 hand: 17 cv bin: 2,-6.4161672045489775,-58.333333333333336,-133.33333333333337,0.0,0
upcard: 9 hand: 11 cv bin: 2,-54.285714285714285,18.88211382113815,32.1919014084509,0.0,0
upcard: 10 hand: A 3 cv bin: 2,-37.12546816479394,-19.58105302887326,-52.27272727272727,0.0,0
upcard: 4 hand: A 7 cv bin: 2,29.07092907092907,17.85714285714287,36.096426305772916,0.0,0
upcard: 10 hand: 19 cv bin: 2,3.9262029419096796,-88.37209302325583,-200.0,0.0,0
upcard: 6 hand: 12 cv bin: 2,-6.30768112782507,-16.560509554140125,-40.545808966861614,0.0,0
upcard: 2 hand: 11 cv bin: 2,-30.275229357798164,34.43673251468234,64.00475124491744,0.0,0
upcard: 6 hand: K K cv bin: 2,68.26234451564277,-79.3103448275862,-200.0,44.73684210526316,0
upcard: 8 hand: Q Q cv bin: 2,79.16156670746624,-74.07407407407408,-200.0,28.248587570621474,0
upcard: 10 hand: 5 5 cv bin: 1,-61.538461538461526,4.504782474544894,0.20655060489820243,-62.204724409448815,0
upcard: 10 hand: 12 cv bin: 1,-54.45903123585335,-37.89339946118061,-75.10121457489872,0.0,0
upcard: 3 hand: 12 cv bin: 2,-18.70160299454244,-23.55831091355715,-68.72586872586875,0.0,0
upcard: 10 hand: 21 cv bin: 2,96.6154361700511,-100.0,0.0,0.0,0
upcard: 4 hand: 13 cv bin: 1,-18.41179502117456,-25.805328225665974,-50.6086956521739,0.0,0
upcard: 10 hand: 10 10 cv bin: 1,58.0367527331938,-96.55172413793105,-160.0,-3.205128205128202,0
upcard: 6 hand: 7 7 cv bin: 1,-21.73913043478261,-46.15384615384615,-46.23655913978494,29.415979935506986,0
upcard: 6 hand: 16 cv bin: 1,-9.807503161444497,-51.70454545454543,-81.203007518797,0.0,0
upcard: 3 hand: 12 cv bin: 1,-23.017077798861393,-23.5016175719394,-49.601063829787236,0.0,0
upcard: 10 hand: 8 cv bin: 1,-53.04568527918781,-25.920606423299336,-86.096256684492,0.0,0
upcard: 9 hand: 10 10 cv bin: 1,73.20158102766791,-92.0,-200.0,10.084033613445381,0
upcard: 9 hand: 15 cv bin: 1,-52.991345792048214,-47.02275719390653,-101.8099547511312,0.0,0
